,word,average/std,percent_std,rating,word_count,divisor,percent,type,normilization_divisor,normilized_percent,mean,median,mode,zeros,total_word_count,percent_average
638,serial,0.4938027819564199,0.0003635733529008483,,,,,1,0.0017953353310766209,0.0,3.423161077781175,11,2,2,47.0,17953.353310766208
649,teeny,0.7897926254746812,6.764469079311572e-05,,,,,1,0.0005342527794091785,0.0,6.63390089751016,11,4,4,47.0,5342.527794091786
660,conceit,1.3454968857943692,6.706615348257451e-05,,,,,1,0.0009023730065301117,0.0,5.014666865280534,11,2,3,47.0,9023.730065301117
671,reuse,0.8976663902619292,7.064755632891336e-05,,,,,1,0.0006341793687060199,0.0,6.200387074474238,11,2,5,47.0,6341.793687060198
682,tainted,1.3366923569505178,4.3604207668801756e-05,,,,,1,0.0005828541112177048,0.0,6.415144259714811,11,4,2,47.0,5828.541112177048
693,believes,1.1669735593591706,7.826875919132925e-05,,,,,1,0.0009133757250013128,0.0,4.632807399259948,11,2,3,47.0,9133.757250013128
704,jensen,1.0452830910586486,3.721592106245828e-05,,,,,1,0.00038901173004761056,0.0,8.861454421214994,11,11,5,47.0,3890.1173004761054
715,denote,0.36073855209747263,0.0012744812831376807,,,,,1,0.00459754532754416,0.0,2.4356294548423283,11,2,3,47.0,45975.453275441614
726,rerolls,1.1793748306747716,6.898753474812792e-05,,,,,1,0.0008136216211224329,0.0,5.1142747346967505,11,2,2,47.0,8136.2162112243295
737,4players,0.7095847515890876,4.444700067711039e-05,,,,,1,0.00031538913934347384,0.0,8.584284784612398,11,8,5,47.0,3153.8913934347383
748,get-togethers,0.8361564100052461,7.160457534624428e-05,,,,,1,0.0005987262466146576,0.0,5.857255992117547,11,2,5,47.0,5987.262466146576
759,intimidate,1.0525961222482896,3.672889144164531e-05,,,,,1,0.00038660688705954247,0.0,8.859143370711108,11,10,5,47.0,3866.0688705954244
770,amazons,0.6220724602424614,0.00014103819011881868,,,,,1,0.0008773597391535756,0.0,4.539219384971123,11,2,4,47.0,8773.597391535755
781,gathers,0.9525972458350168,6.877328108948791e-05,,,,,1,0.0006551323815288361,0.0,6.350599492191034,11,4,3,47.0,6551.323815288361
792,tighten,1.3170740973346922,3.307806128548821e-05,,,,,1,0.0004356625770916598,0.0,8.332996330456083,11,11,3,47.0,4356.625770916598
803,board-gaming,1.302081648248907,2.998360246919282e-05,,,,,1,0.00039041098523526593,0.0,8.446211063344645,11,11,4,47.0,3904.1098523526593
814,non-geeks,1.07641351171643,3.1568267008440186e-05,,,,,1,0.00033980509149357014,0.0,8.474001658090666,11,7,4,47.0,3398.0509149357013
825,bandits,0.9040519132344264,6.87704074355281e-05,,,,,1,0.000621720184160002,0.0,5.318742296561676,11,2,4,47.0,6217.201841600021
836,unpolished,1.1150473828634768,8.331151225528088e-05,,,,,1,0.0009289628370264943,0.0,5.318623933204408,11,4,3,47.0,9289.628370264943
847,overbid,1.0239790160520164,6.663608488377376e-05,,,,,1,0.0006823395263284532,0.0,5.0479814880068705,11,2,4,47.0,6823.39526328453
858,dialogue,1.069794269793196,3.433449486648854e-05,,,,,1,0.0003673084586441335,0.0,8.919394621315488,11,10,4,47.0,3673.084586441334
869,revisions,1.1799081134997678,6.665834276031522e-05,,,,,1,0.0007865071945534444,0.0,5.652455290232812,11,2,3,47.0,7865.071945534446
880,peasants,1.0861479877547229,3.497177479557385e-05,,,,,1,0.0003798452282242388,0.0,8.441805700590688,11,10,5,47.0,3798.452282242388
891,clunkier,1.025359162337109,6.873961478978013e-05,,,,,1,0.000704827938402245,0.0,5.47476974562816,11,2,3,47.0,7048.27938402245
902,immersionmeaningfulness,1.0881402045958202,3.2569053316030437e-05,,,,,1,0.00035439696338797534,0.0,8.093517746631381,11,9,4,47.0,3543.9696338797526
913,den,0.9216651034634804,6.695678002488983e-05,,,,,1,0.0006171172758922158,0.0,6.6785295448751345,11,3,3,47.0,6171.172758922156
924,complements,1.118313536721751,3.292579523897284e-05,,,,,1,0.000368213625230719,0.0,8.706943456109215,11,10,4,47.0,3682.1362523071903
935,mapboard,1.4184358658694358,3.459116258142733e-05,,,,,1,0.000490653456476173,0.0,7.448753108051844,11,4,3,47.0,4906.5345647617305
946,jewelry,1.0744272022528736,3.755562042190496e-05,,,,,1,0.00040350780178778243,0.0,8.745324914887126,11,11,5,47.0,4035.0780178778245
957,stubborn,1.5907423833690422,4.2766821949097886e-05,,,,,1,0.0006803099627642744,0.0,6.53959778362502,11,4,3,47.0,6803.099627642744
968,archers,1.3899781721466693,3.679585769995224e-05,,,,,1,0.0005114543902834855,0.0,6.635731343723757,11,3,3,47.0,5114.543902834856
979,quaint,1.0249417636794824,6.866493517301514e-05,,,,,1,0.0007037755975916746,0.0,5.401867505637367,11,2,3,47.0,7037.755975916745
990,ahem,0.7541237117584064,0.00013643050333891302,,,,,1,0.0010288547757500875,0.0,4.532351409319376,11,2,4,47.0,10288.547757500875
1001,guise,1.1241034952410804,6.932915393682802e-05,,,,,1,0.0007793314426249529,0.0,6.244862486853503,11,3,2,47.0,7793.314426249529
1012,★★✰✰✰,1.0003878237933097,3.143840268231532e-05,,,,,1,0.00031450595242899166,0.0,8.30350751993018,11,8,4,47.0,3145.0595242899176
1023,phil,0.9440713143332709,6.303367093528231e-05,,,,,1,0.0005950828056712287,0.0,5.684797379625886,11,3,5,47.0,5950.828056712287
1034,roleplayers,0.8701332362967137,8.687602703329436e-05,,,,,1,0.000755937185590812,0.0,5.9833887134297274,11,5,2,47.0,7559.371855908121
1045,screw-you,1.879453031630876,3.0820706312592336e-05,,,,,1,0.0005792606991620653,0.0,6.490628737911566,11,3,3,47.0,5792.606991620654
1056,parents',0.8815689551755415,8.33309017898433e-05,,,,,1,0.0007346193602470781,0.0,5.777563081431011,11,5,3,47.0,7346.193602470781
1067,campaigning,0.8296503552328871,9.537093780385279e-05,,,,,1,0.0007912453242786004,0.0,5.676270192231304,11,3,2,47.0,7912.453242786003
1078,guesser,1.1327505332526369,6.896864068430206e-05,,,,,1,0.0007812426451285268,0.0,5.382495611147078,11,3,1,47.0,7812.426451285268
1089,'light',1.8029698846915287,2.526393753418753e-05,,,,,1,0.0004555011854286808,0.0,7.519367037911329,11,11,3,47.0,4555.011854286807
1100,detailled,0.9170004468744404,8.756382835837749e-06,,,,,1,8.029606973466896e-05,0.0,9.173153217073079,11,10,7,12.0,802.9606973466894
1111,talker,0.7645536258774401,1.8709212047566148e-05,,,,,1,0.00014304195908276584,0.0,6.532785616941757,11,4,7,12.0,1430.4195908276586
1122,game-long,0.8978611605202071,1.0104524728303408e-05,,,,,1,9.072460299059628e-05,0.0,9.305679417578842,11,11,5,12.0,907.2460299059626
1133,baratheons,0.5787236701682391,1.3635979193616308e-05,,,,,1,7.891463925267374e-05,0.0,9.158241255733634,11,10,7,12.0,789.1463925267376
1144,genders,0.5833448767733004,1.7492113005015398e-05,,,,,1,0.0001020393450541535,0.0,10.199942462603213,11,11,6,12.0,1020.3934505415352
1155,asara,0.8467177076121761,1.5728672702698175e-05,,,,,1,0.0001331774569461081,0.0,6.652550097401974,11,6,7,12.0,1331.7745694610808
1166,there',0.9307912085342857,8.691333398192253e-06,,,,,1,8.089816717477765e-05,0.0,8.074931844856351,11,9,7,12.0,808.9816717477765
1177,arguements,0.8443527722929705,3.65919613724806e-05,,,,,1,0.00030896524028491276,0.0,4.5037880528064935,11,3,6,12.0,3089.6524028491276
1188,gallerist,0.6597710336854905,4.8024373942273684e-05,,,,,1,0.00031685090837992437,0.0,5.10971853989284,11,5,7,12.0,3168.509083799244
1199,09u,0.9372376220621148,9.564632465168727e-06,,,,,1,8.964333387552842e-05,0.0,8.237899970333114,11,8,8,12.0,896.4333387552841
1210,volition,0.7382508002608072,3.61850429813687e-05,,,,,1,0.0002671363693846715,0.0,4.777694643618963,11,3,6,12.0,2671.3636938467153
1221,gb,0.7786420031380781,1.9751253642958526e-05,,,,,1,0.00015379155701041492,0.0,7.35400248373281,11,4,6,12.0,1537.9155701041493
1232,knee-jerk,0.9051244052793521,1.8344589456464785e-05,,,,,1,0.00016604135621876563,0.0,6.452649911486133,11,4,6,12.0,1660.4135621876562
1243,shawn,0.5021152061928197,7.343856268538777e-05,,,,,1,0.00036874619045277793,0.0,3.717041755552691,11,2,7,12.0,3687.461904527778
1254,falklands,0.8098154979630482,8.831885152768992e-06,,,,,1,7.152197472942073e-05,0.0,8.425793742753356,11,8,6,12.0,715.2197472942073
1265,obsessions,0.7530914388431824,1.6977136198394607e-05,,,,,1,0.0001278533592708567,0.0,7.552115531158101,11,6,6,12.0,1278.533592708567
1276,reinforcing,0.8143738580565167,1.4745370556681013e-05,,,,,1,0.00012008244308717283,0.0,7.353321701529602,11,7,7,12.0,1200.8244308717285
1287,bonfire,0.6571300955113409,0.0001162226943389156,,,,,1,0.00076373430231517,0.0,3.255013796616978,11,3,7,12.0,7637.3430231517
1298,tv-show,1.1125060629806605,1.1335557537210334e-05,,,,,1,0.00012610876487412624,0.0,7.61100485344915,11,5,7,12.0,1261.0876487412622
1309,poster-child,0.7984720921341648,3.596583429520609e-05,,,,,1,0.00028717714955043904,0.0,5.146089572181942,11,3,6,12.0,2871.7714955043893
1320,boringness,0.6316315665356043,6.994944777372084e-05,,,,,1,0.00044182279275615735,0.0,4.143092479842771,11,3,6,12.0,4418.227927561574
1331,yeesh,0.8793939838404469,1.864519969252029e-05,,,,,1,0.00016396476437106092,0.0,6.1219105651597685,11,4,7,12.0,1639.6476437106091
1342,jour,0.7023091760736688,3.3451764705216605e-05,,,,,1,0.00023493481308330916,0.0,4.945097318784467,11,3,7,12.0,2349.3481308330915
1353,herhis,0.5736319344028663,3.47658694720913e-05,,,,,1,0.00019942812956473294,0.0,5.588811161861745,11,4,6,12.0,1994.281295647329
1364,genera,1.2032018718904791,7.943281581321416e-06,,,,,1,9.55737126759909e-05,0.0,8.335365610262892,11,6,6,12.0,955.7371267599086
1375,seduce,0.7940093025596459,1.3854394193921191e-05,,,,,1,0.00011000517871301773,0.0,9.352753043629884,11,11,6,12.0,1100.0517871301774
1386,too-long,1.0274690361325929,1.7339025015117014e-05,,,,,1,0.00017815311319761194,0.0,6.119031279431718,11,4,8,12.0,1781.531131976119
1397,111715,0.9227721149527548,9.165863804682247e-06,,,,,1,8.458003528415543e-05,0.0,8.145368783750628,11,10,7,12.0,845.8003528415544
1408,energizer,0.3987456579613691,0.00014860650303479087,,,,,1,0.0005925619782994588,0.0,3.086606711868029,11,2,6,12.0,5925.619782994588
1419,monastic,0.8646476020890078,1.363481083227477e-05,,,,,1,0.00011789306491063607,0.0,9.109395507308992,11,11,6,12.0,1178.930649106361
1430,kingslayer,0.8929332189246114,9.875761598217849e-06,,,,,1,8.818395593228727e-05,0.0,8.863873569265927,11,7,6,12.0,881.8395593228729
1441,laziness,0.5270387510017454,0.00015570821052796443,,,,,1,0.0008206426079737519,0.0,2.8521720204178966,11,2,5,12.0,8206.426079737521
1452,ibcolor,0.659126571938681,1.6170846751524646e-05,,,,,1,0.00010658634784678194,0.0,6.992816420762047,11,7,6,12.0,1065.8634784678193
1463,quess,0.9545451375720184,1.4041739062248153e-05,,,,,1,0.0001340347374492405,0.0,6.909492771426837,11,6,7,12.0,1340.3473744924054
1474,traitor',0.948767364722892,1.7855583233129064e-05,,,,,1,0.00016940794649686117,0.0,5.931828239469829,11,4,7,12.0,1694.0794649686118
1485,forking,0.4626184643092807,7.303812136598259e-05,,,,,1,0.0003378878354236572,0.0,3.6619564070712385,11,2,7,12.0,3378.8783542365727
1496,jaun,0.8963355412496868,1.6437584859017497e-05,,,,,1,0.00014733591521445106,0.0,7.861496656118854,11,11,6,12.0,1473.3591521445105
1507,instructive,1.0271152829517471,1.071076729488564e-05,,,,,1,0.00011001192780716782,0.0,7.097527935797131,11,5,7,12.0,1100.1192780716785
1518,appart,0.8314811494147218,1.1078659608421063e-05,,,,,1,9.211696625184397e-05,0.0,9.022746096644685,11,11,6,12.0,921.1696625184396
1529,boardgamebliss,0.924727248424109,1.5044321402066391e-05,,,,,1,0.0001391189393454079,0.0,8.312432656808806,11,11,7,12.0,1391.1893934540788
1540,whaling,0.6320168254060631,1.7750762841372953e-05,,,,,1,0.00011218780779540441,0.0,9.679840522692086,11,11,6,12.0,1121.878077954044
1551,warships,0.6789360332305932,2.031819012873577e-05,,,,,1,0.00013794751408428862,0.0,7.384212948127023,11,5,6,12.0,1379.4751408428865
1562,alluded,0.7705658351497421,2.0846600251437696e-05,,,,,1,0.00016063677932781915,0.0,6.472914086359168,11,5,5,12.0,1606.3677932781907
1573,behemoths,0.9311730328294224,1.2474211711292853e-05,,,,,1,0.00011615649551360866,0.0,8.059224052245218,11,5,7,12.0,1161.5649551360864
1584,dosn't,0.6493260776501752,3.441086662198986e-05,,,,,1,0.00022343873052200016,0.0,5.240077521263873,11,4,6,12.0,2234.3873052200015
1595,010509,0.7410481736058928,2.0867656294583107e-05,,,,,1,0.00015463938584536324,0.0,6.542263418020602,11,5,7,12.0,1546.3938584536322
1606,52010,0.6657066241782668,1.8019129739328508e-05,,,,,1,0.0001199545402939859,0.0,7.89828355538138,11,6,6,12.0,1199.545402939859
1617,quid,0.9763841619957564,9.93410258145478e-06,,,,,1,9.699500424173606e-05,0.0,8.580327239051735,11,10,7,12.0,969.9500424173607
1628,formalized,0.7274699424226999,2.0640101197185792e-05,,,,,1,0.0001501505322951545,0.0,6.301039313786374,11,6,7,12.0,1501.505322951545
1639,10-13,0.5823542137255995,3.39135866387311e-05,,,,,1,0.00019749720081613245,0.0,5.269240917726138,11,3,8,12.0,1974.9720081613248
1650,sphinx,0.8098154979630482,8.831885152768992e-06,,,,,1,7.152197472942073e-05,0.0,8.425793742753356,11,8,6,12.0,715.2197472942073
1661,willy-nilly,1.1009502240206188,1.1607542440556774e-05,,,,,1,0.00012779326450259817,0.0,7.7220842525123,11,5,7,12.0,1277.932645025982
1672,'out,0.6449281216640967,3.322155102380265e-05,,,,,1,0.00021425512500548993,0.0,5.779665373722257,11,3,7,12.0,2142.5512500549
1683,nilly,1.1242251716873404,8.274332863301154e-06,,,,,1,9.302213283842943e-05,0.0,8.180785569215468,11,8,7,12.0,930.2213283842942
1694,beerpretzel,0.9567383086115708,1.948087791283133e-05,,,,,1,0.00018638102184590755,0.0,5.714281063982699,11,4,7,12.0,1863.8102184590753
1705,capriciousness,0.6141699678361249,4.3092997377536267e-05,,,,,1,0.00026466424813323657,0.0,4.976567680472755,11,4,6,12.0,2646.642481332366
1716,institution,0.7088866136381959,2.2352718065552086e-05,,,,,1,0.00015845542615098546,0.0,6.933580028584495,11,6,6,12.0,1584.5542615098545
1727,fudging,0.8543873292632241,1.264268129993918e-05,,,,,1,0.0001080174671058114,0.0,8.121276970434362,11,5,7,12.0,1080.1746710581137
1738,likelyhood,0.5844331563854274,2.9738367034504114e-05,,,,,1,0.00017380087711723583,0.0,6.4186899457893665,11,5,7,12.0,1738.0087711723586
1749,betwen,0.5747334468394723,3.3336453859397826e-05,,,,,1,0.00019159575032016746,0.0,5.382188392171796,11,3,7,12.0,1915.9575032016744
1760,infuse,0.6545247992048843,1.8279583683744365e-05,,,,,1,0.00011964440840151663,0.0,6.950972022433933,11,6,6,12.0,1196.4440840151665
1771,blueprint,0.8694473411828649,1.0339600756378552e-05,,,,,1,8.989738386525673e-05,0.0,9.537324061360192,11,11,6,12.0,898.9738386525673
1782,standee,0.7726331769031533,1.0869056669381553e-05,,,,,1,8.397793784404672e-05,0.0,9.1959455429949,11,10,8,12.0,839.7793784404671
1793,setupbreakdown,0.7839376136284806,1.2946423417788245e-05,,,,,1,0.00010149188279164791,0.0,7.545250233574076,11,5,7,12.0,1014.9188279164791
1804,paratroopers,0.7877148391582458,1.5437179484254097e-05,,,,,1,0.0001216009535449619,0.0,8.661416987092366,11,11,7,12.0,1216.0095354496186
1815,introvert,0.7364635532620364,3.463071686323153e-05,,,,,1,0.00025504260793107015,0.0,5.227543401138352,11,3,7,12.0,2550.426079310701
1826,deficient,0.5082641085783349,7.259415528365784e-05,,,,,1,0.00036897003623245577,0.0,3.590685652291265,11,2,7,12.0,3689.7003623245582
1837,one-note,0.6627850868779577,3.4987474137031424e-05,,,,,1,0.00023189176085552666,0.0,5.243566606068632,11,4,7,12.0,2318.9176085552663
1848,flavourless,0.7254100558776589,5.9123465750307716e-05,,,,,1,0.0004288875659361158,0.0,4.289531805541193,11,4,7,12.0,4288.875659361158
1859,-after,0.5780220395145637,2.968587311570269e-05,,,,,1,0.00017159088923109027,0.0,8.232774791965127,11,11,8,12.0,1715.9088923109025
1870,peters,0.8410787437289611,1.3612528861421674e-05,,,,,1,0.00011449208673738766,0.0,6.591386545907187,11,5,8,12.0,1144.920867373877
1881,122013,0.8722440084638998,1.1674850174920156e-05,,,,,1,0.0001018331811478782,0.0,7.969814489930347,11,6,7,12.0,1018.331811478782
1892,817,0.8711060055674844,8.502136515461332e-06,,,,,1,7.406262178772971e-05,0.0,8.982021235316573,11,9,8,12.0,740.626217877297
1903,masse,0.8262028220382247,1.886509716688018e-05,,,,,1,0.00015586396517301723,0.0,6.2716804987627945,11,4,7,12.0,1558.6396517301723
1914,battlelore's,0.9071654556965428,9.974088542717564e-06,,,,,1,9.048148578012044e-05,0.0,7.7186120610722675,11,7,6,12.0,904.8148578012044
1925,persevered,0.4948778376162708,7.302295673109729e-05,,,,,1,0.0003613744292343193,0.0,3.960774477414057,11,2,6,12.0,3613.744292343194
1936,buildingcard,0.8344149890692522,1.429700598789642e-05,,,,,1,0.00011929636095113624,0.0,8.666430023590774,11,7,7,12.0,1192.9636095113624
1947,lautapelitfi,0.7747050648160992,1.33572705622056e-05,,,,,1,0.00010347945156659662,0.0,7.788644628132064,11,8,8,12.0,1034.7945156659662
1958,annie,0.6602996698257682,1.4039096208764978e-05,,,,,1,9.270010591299711e-05,0.0,9.7824739016478,11,11,8,12.0,927.0010591299713
1969,tignous,0.734680042232175,2.2551636966446068e-05,,,,,1,0.00016568237598913276,0.0,7.849901246947155,11,4,7,12.0,1656.8237598913279
1980,40s,0.4621251205883464,7.366559215456725e-05,,,,,1,0.00034042720657641334,0.0,3.4778331781828467,11,2,8,12.0,3404.2720657641335
1991,wihtout,0.8949207219358334,1.1505317386882127e-05,,,,,1,0.0001029634694196945,0.0,7.8827203873575336,11,6,7,12.0,1029.6346941969452
2002,-but,0.9773947746079604,1.9187767654829644e-05,,,,,1,0.00018754023842222135,0.0,5.938924585819479,11,4,6,12.0,1875.4023842222132
2013,dazzle,0.5113412577261693,7.294735495751998e-05,,,,,1,0.00037300992231775585,0.0,3.6622018417861626,11,2,6,12.0,3730.099223177558
2024,longshot,1.0532974063112135,1.2586697613762838e-05,,,,,1,0.0001325753595059994,0.0,7.311242993306715,11,7,7,12.0,1325.753595059994
2035,promosextrasexpansions,1.0327910401197082,8.624996371898755e-06,,,,,1,8.907818973962026e-05,0.0,8.289935855145847,11,8,8,12.0,890.7818973962028
2046,world-wide,0.91047913868117,1.2985809596096194e-05,,,,,1,0.00011823308736131336,0.0,8.489673779652572,11,6,5,12.0,1182.3308736131337
2057,partie,0.7155713309687359,1.1417361517902773e-05,,,,,1,8.169936577516912e-05,0.0,8.525245602687479,11,10,6,12.0,816.9936577516914
